comment_text,is_toxic
You are stupid,1
I hate you,1
This app is terrible,1
You are useless,1
Go kill yourself,1
You're an idiot,1
I don't like you at all,1
This is the worst thing ever,1
You are so annoying,1
Nobody likes you,1
Shut up,1
This feature sucks,1
What a dumb idea,1
You are trash,1
I regret using this app,1
Thank you very much,0
This app is amazing,0
I really appreciate your help,0
You did a great job,0
Have a nice day,0
This feature works perfectly,0
I love this product,0
Everything looks good to me,0
Well done team,0
Very helpful information,0
I'm happy with the result,0
Great experience overall,0
This is exactly what I needed,0
Awesome work,0
I like this update,0
